,features,score,cols
1,1.0,-0.07,['season_summer']
2,2.0,-0.18,"['season_spring', 'season_summer']"
3,3.0,-0.05,"['season_spring', 'season_summer', 'season_fall']"
4,4.0,-0.06,"['season_winter', 'season_spring', 'season_summer', 'season_fall']"
5,5.0,-0.05,"['weekday_friday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
6,6.0,-0.05,"['weekday_thursday', 'weekday_friday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
7,7.0,-0.05,"['weekday_thursday', 'weekday_friday', 'weekday_saturday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
8,8.0,-0.05,"['weekday_tuesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
9,9.0,-0.05,"['weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
10,10.0,-0.05,"['weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
11,11.0,-0.05,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
12,12.0,-0.05,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
13,13.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
14,14.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_jan', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
15,15.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_jan', 'month_feb', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
16,16.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_jan', 'month_feb', 'month_oct', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
17,17.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_jan', 'month_feb', 'month_mar', 'month_oct', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
18,18.0,-0.04,"['weekday_sunday', 'weekday_monday', 'weekday_tuesday', 'weekday_wednesday', 'weekday_thursday', 'weekday_friday', 'weekday_saturday', 'month_jan', 'month_feb', 'month_mar', 'month_apr', 'month_oct', 'month_nov', 'month_dec', 'season_winter', 'season_spring', 'season_summer', 'season_fall']"
